pl_name,hostname,sys_name,discoverymethod,disc_year,pl_rade,pl_bmasse,sy_dist,disc_facility
30 Ari B b,30 Ari B,30 Ari B,Radial Velocity,2009,12.3,4392.4106,44.657,Thueringer Landessternwarte Tautenburg
PH1 b,PH1,PH1,Transit,2012,6.18,169,1033.16,Kepler
GJ 667 C b,GJ 667 C,GJ 667 C,Radial Velocity,2011,2.23,5.6,7.24396,La Silla Observatory
GJ 667 C c,GJ 667 C,GJ 667 C,Radial Velocity,2011,1.77,3.8,7.24396,La Silla Observatory
GJ 667 C e,GJ 667 C,GJ 667 C,Radial Velocity,2013,1.45,2.7,7.24396,La Silla Observatory
GJ 667 C f,GJ 667 C,GJ 667 C,Radial Velocity,2013,1.45,2.7,7.24396,La Silla Observatory
GJ 667 C g,GJ 667 C,GJ 667 C,Radial Velocity,2013,1.99,4.6,7.24396,La Silla Observatory
Kepler-444 b,Kepler-444,Kepler-444,Transit,2015,0.403,0.0374,36.4396,Kepler
Kepler-444 c,Kepler-444,Kepler-444,Transit,2015,0.497,0.0793,36.4396,Kepler
Kepler-444 d,Kepler-444,Kepler-444,Transit,2015,0.53,0.2,36.4396,Kepler
Kepler-444 e,Kepler-444,Kepler-444,Transit,2015,0.546,0.1,36.4396,Kepler
Kepler-444 f,Kepler-444,Kepler-444,Transit,2015,0.741,0.332,36.4396,Kepler
HD 207832 b,HD 207832,HD 207832,Radial Velocity,2012,14.2,177.9848,58.9291,W. M. Keck Observatory
HD 207832 c,HD 207832,HD 207832,Radial Velocity,2012,14,232.0159,58.9291,W. M. Keck Observatory
HD 65216 b,HD 65216,HD 65216,Radial Velocity,2003,13.6,411.58985,35.1205,La Silla Observatory
HD 65216 c,HD 65216,HD 65216,Radial Velocity,2013,13.4,645.1949,35.1205,La Silla Observatory
K2-290 b,K2-290,K2-290,Transit,2019,3.06,10.9,272.909,K2
K2-290 c,K2-290,K2-290,Transit,2019,11.276,246.00042,272.909,K2
LTT 1445 A b,LTT 1445 A,LTT 1445 A,Transit,2019,1.305,2.87,6.86929,Transiting Exoplanet Survey Satellite (TESS)
LTT 1445 A c,LTT 1445 A,LTT 1445 A,Transit,2022,1.147,1.54,6.86929,Transiting Exoplanet Survey Satellite (TESS)
TOI-942 b,TOI-942,TOI-942,Transit,2020,4.81,826.358,152.601,Transiting Exoplanet Survey Satellite (TESS)
TOI-942 c,TOI-942,TOI-942,Transit,2020,5.79,794.575,152.601,Transiting Exoplanet Survey Satellite (TESS)
16 Cyg B b,16 Cyg B,16 Cyg B,Radial Velocity,1996,13.5,565.7374,21.1397,Multiple Observatories
51 Eri b,51 Eri,51 Eri,Imaging,2015,13.4,635.66,29.7575,Gemini Observatory
91 Aqr b,91 Aqr,91 Aqr,Radial Velocity,2013,13.1,1017,44.0304,Lick Observatory
HAT-P-16 b,HAT-P-16,HAT-P-16,Transit,2010,14.448,1332.605,226.637,HATNet
HAT-P-35 b,HAT-P-35,HAT-P-35,Transit,2011,14.93,335.62848,506.965,HATNet
HAT-P-57 b,HAT-P-57,HAT-P-57,Transit,2015,19.504,448.1403,279.86,HATNet
HAT-P-8 b,HAT-P-8,HAT-P-8,Transit,2008,15.693,406.8224,211.553,HATNet
HD 126614 b,HD 126614,HD 126614,Radial Velocity,2009,13.6,119.96298,73.0961,W. M. Keck Observatory
HD 132563 b,HD 132563,HD 132563,Radial Velocity,2011,13.6,473.547,105.155,Roque de los Muchachos Observatory
HD 142245 b,HD 142245,HD 142245,Radial Velocity,2011,13.1,975.7381,97.2305,W. M. Keck Observatory
HD 178911 B b,HD 178911 B,HD 178911 B,Radial Velocity,2001,12.6,2552.1749,40.9727,W. M. Keck Observatory
HD 185269 b,HD 185269,HD 185269,Radial Velocity,2006,13.8,321.0083,51.9917,Lick Observatory
HD 196050 b,HD 196050,HD 196050,Radial Velocity,2002,13.1,1010.6994,50.6742,Anglo-Australian Telescope
HD 19994 b,HD 19994,HD 19994,Radial Velocity,2003,13.6,435.41,22.5242,La Silla Observatory
HD 2638 b,HD 2638,HD 2638,Radial Velocity,2005,14.3,133.4886,54.9621,La Silla Observatory
HD 26965 b,HD 26965,HD 26965,Radial Velocity,2018,2.84,8.47,5.03545,Multiple Observatories
HD 40979 b,HD 40979,HD 40979,Radial Velocity,2002,12.9,1484.2661,34.0883,Multiple Observatories
HD 4113 b,HD 4113,HD 4113,Radial Velocity,2007,13.5,542.78936,41.8727,La Silla Observatory
HD 43691 b,HD 43691,HD 43691,Radial Velocity,2007,13.2,810.4665,85.6009,Haute-Provence Observatory
HD 87646 b,HD 87646,HD 87646,Radial Velocity,2016,12.4,3941.092,73.58352,Apache Point Observatory
HW Vir b,HW Vir,HW Vir,Eclipse Timing Variations,2012,12.3,4602.90201,171.701,McDonald Observatory
